delivery_id,delivery_person_id,restaurant_area,customer_area,delivery_distance_km,delivery_time_min,order_placed_at,weather_condition,traffic_condition,delivery_rating
D00030,14,Sunset Hills,Sunset Hills,3.97,19,2026-03-14 07:22:00,Clear,Low,4.7
D00031,3,Riverside,Riverside,9.23,30,2026-07-10 03:05:00,Clear,Low,4.8
D00032,31,Eastgate,Harbor View,7.85,34,2026-04-08 21:24:00,Clear,Low,4.0
D00033,27,Eastgate,Eastgate,5.85,39,2026-06-15 07:36:00,Clear,High,4.1
D00034,14,Westfield,Westfield,2.75,13,2026-07-22 18:45:00,Clear,Low,4.6
D00035,19,Harbor View,Riverside,9.66,37,2026-06-13 15:10:00,Rain,High,4.4
D00036,10,Uptown,Uptown,10.03,51,2026-05-25 04:13:00,Fog,Medium,4.1
D00037,35,Sunset Hills,Sunset Hills,4.41,27,2026-08-01 10:13:00,Clear,Low,4.1
D00038,18,Uptown,Uptown,8.1,34,2026-06-28 08:27:00,Fog,Low,3.8
D00039,23,Old Town,Old Town,5.41,19,2026-07-16 18:39:00,Clear,Medium,4.9
D00040,17,Uptown,Uptown,11.87,45,2026-04-30 07:08:00,Cloudy,Medium,4.3
D00041,29,Riverside,Riverside,4.03,34,2026-03-24 19:01:00,Storm,Medium,4.3
D00042,36,Downtown,Downtown,11.02,41,2026-07-19 16:07:00,Clear,Low,3.6
D00043,31,Sunset Hills,Sunset Hills,2.93,35,2026-03-23 19:36:00,Rain,Medium,4.3
D00044,33,Downtown,Westfield,11.99,39,2026-05-27 05:23:00,Clear,Low,4.0
D00045,21,Harbor View,Eastgate,10.39,29,2026-03-18 11:46:00,Clear,Low,4.4
D00046,3,Westfield,Westfield,10.26,43,2026-05-19 20:05:00,Clear,High,4.1
D00047,31,Downtown,Downtown,10.34,63,2026-05-02 03:55:00,Storm,High,4.2
D00048,3,Eastgate,Eastgate,1.81,26,2026-05-30 16:13:00,Fog,High,4.1
D00049,3,Uptown,Westfield,2.43,26,2026-05-12 12:33:00,Rain,Medium,4.0
D00050,16,Sunset Hills,Uptown,3.64,26,2026-06-13 09:20:00,Clear,Low,3.3
D00051,29,Eastgate,Westfield,5.92,31,2026-04-25 01:44:00,Clear,High,4.1
D00052,19,Harbor View,Harbor View,7.14,29,2026-05-02 16:00:00,Cloudy,Medium,4.5
D00053,15,Eastgate,Eastgate,8.39,48,2026-06-24 04:44:00,Cloudy,Medium,3.5
D00054,29,Riverside,Riverside,4.11,22,2026-07-09 21:02:00,Cloudy,Low,4.8
D00055,17,Sunset Hills,Westfield,11.58,54,2026-05-17 20:31:00,Clear,High,3.4
D00056,26,Downtown,Downtown,8.34,35,2026-07-11 09:37:00,Cloudy,Medium,3.1
D00057,2,Eastgate,Old Town,7.92,25,2026-06-16 03:56:00,Clear,Medium,4.1
D00058,32,Eastgate,Eastgate,5.88,29,2026-03-27 19:36:00,Cloudy,Medium,4.1
D00059,7,Sunset Hills,Westfield,3.23,14,2026-08-03 01:37:00,Clear,Low,5.0
D00060,26,Downtown,Downtown,8.22,40,2026-07-11 09:55:00,Rain,Medium,4.3
D00061,14,Uptown,Eastgate,10.54,32,2026-03-14 17:08:00,Clear,Low,4.2
D00062,35,Downtown,Riverside,4.81,29,2026-08-05 20:00:00,Cloudy,Medium,4.3
D00063,8,Sunset Hills,Sunset Hills,7.45,24,2026-04-19 12:28:00,Clear,Low,3.8
D00064,2,Riverside,Harbor View,6.29,26,2026-04-24 02:54:00,Fog,Low,4.6
D00065,38,Riverside,Harbor View,6.46,48,2026-03-29 14:31:00,Clear,High,4.6
D00066,29,Sunset Hills,Sunset Hills,8.97,28,2026-04-17 11:34:00,Clear,Low,5.0
D00067,6,Uptown,Uptown,4.97,31,2026-07-18 00:13:00,Clear,Low,4.1
D00068,28,Sunset Hills,Sunset Hills,4.74,30,2026-05-30 04:41:00,Rain,Low,4.0
D00069,18,Uptown,Uptown,9.97,57,2026-04-24 06:11:00,Rain,Medium,4.2
D00070,12,Downtown,Westfield,2.83,30,2026-05-17 13:00:00,Clear,Medium,4.6
D00071,34,Harbor View,Harbor View,4.94,35,2026-04-17 13:50:00,Cloudy,High,4.1
D00072,40,Riverside,Westfield,6.24,29,2026-04-20 02:33:00,Clear,Low,4.0
D00073,38,Sunset Hills,Sunset Hills,5.23,35,2026-05-25 22:46:00,Rain,Low,4.5
D00074,21,Eastgate,Eastgate,5.06,32,2026-04-23 18:52:00,Cloudy,Medium,3.4
D00075,2,Harbor View,Old Town,5.33,16,2026-03-17 10:24:00,Rain,Low,5.0
D00076,24,Uptown,Uptown,7.4,47,2026-07-15 16:33:00,Rain,Medium,4.5
D00077,33,Westfield,Westfield,9.49,44,2026-04-03 17:03:00,Clear,High,3.9
D00078,12,Eastgate,Eastgate,7.83,34,2026-07-23 18:11:00,Clear,Medium,3.8
D00079,21,Westfield,Westfield,4.19,19,2026-04-13 09:20:00,Clear,Low,4.3
D00080,19,Uptown,Riverside,7.3,34,2026-04-04 11:31:00,Fog,Medium,4.5
D00081,39,Sunset Hills,Sunset Hills,9.88,41,2026-07-27 09:54:00,Cloudy,High,4.5
D00082,34,Downtown,Old Town,5.38,31,2026-05-08 14:36:00,Clear,Medium,3.5
D00083,25,Riverside,Riverside,7.33,27,2026-07-04 13:55:00,Clear,Low,4.1
D00084,36,Westfield,Old Town,10.08,38,2026-07-10 02:16:00,Cloudy,Medium,4.1
D00085,24,Riverside,Riverside,6.25,38,2026-06-18 13:11:00,Clear,Low,4.6
D00086,22,Eastgate,Eastgate,2.83,32,2026-05-07 19:50:00,Cloudy,Medium,3.8
D00087,16,Harbor View,Sunset Hills,4.27,32,2026-06-13 06:45:00,Cloudy,Medium,3.8
D00088,19,Westfield,Westfield,3.04,29,2026-04-26 18:08:00,Rain,High,4.4
D00089,34,Eastgate,Eastgate,10.94,46,2026-07-01 15:32:00,Clear,Medium,4.0
D00090,27,Riverside,Riverside,11.94,46,2026-05-08 16:36:00,Clear,Low,3.7
D00091,3,Riverside,Sunset Hills,5.82,24,2026-07-07 01:30:00,Clear,Low,5.0
D00092,19,Sunset Hills,Sunset Hills,7.96,29,2026-07-30 16:34:00,Rain,Low,3.8
D00093,10,Riverside,Riverside,5.47,34,2026-05-13 16:24:00,Cloudy,Low,4.2
D00094,31,Riverside,Old Town,4.8,27,2026-06-08 00:59:00,Clear,Low,4.1
D00095,3,Eastgate,Eastgate,11.79,40,2026-06-28 02:31:00,Clear,Low,4.7
D00096,13,Riverside,Downtown,5.26,28,2026-05-23 14:28:00,Cloudy,Medium,4.4
D00097,22,Downtown,Downtown,5.28,39,2026-05-09 10:04:00,Clear,High,4.4
D00098,18,Uptown,Riverside,2.82,20,2026-04-23 04:08:00,Clear,Low,4.7
D00099,29,Eastgate,Eastgate,3.88,32,2026-05-13 04:33:00,Fog,High,4.6
D00100,10,Eastgate,Sunset Hills,3.44,38,2026-08-03 19:56:00,Rain,Medium,4.1
D00101,24,Harbor View,Uptown,4.32,41,2026-03-29 12:35:00,Clear,High,4.2
D00102,17,Harbor View,Harbor View,11.98,45,2026-05-30 01:02:00,Clear,Low,4.2
D00103,21,Old Town,Old Town,4.05,20,2026-07-26 06:26:00,Clear,Low,3.6
D00104,15,Eastgate,Uptown,4.84,42,2026-06-12 08:59:00,Rain,Medium,4.1
D00105,26,Harbor View,Harbor View,2.2,11,2026-04-29 05:56:00,Clear,Low,4.6
D00106,9,Old Town,Old Town,2.51,26,2026-07-28 20:27:00,Clear,Low,3.8
D00107,17,Harbor View,Westfield,7.68,35,2026-07-10 03:41:00,Clear,Medium,3.8
D00108,3,Downtown,Downtown,3.16,33,2026-03-17 15:19:00,Rain,Medium,4.4
D00109,16,Old Town,Old Town,1.47,23,2026-04-17 21:16:00,Clear,Medium,5.0
D00110,23,Westfield,Westfield,1.99,12,2026-05-09 07:25:00,Clear,Low,4.5
D00111,27,Sunset Hills,Uptown,4.3,25,2026-05-20 05:14:00,Cloudy,Medium,4.2
D00112,26,Downtown,Downtown,4.75,27,2026-06-11 17:23:00,Clear,Medium,3.8
D00113,28,Westfield,Old Town,5.29,31,2026-04-30 12:58:00,Rain,Low,4.2
D00114,40,Eastgate,Eastgate,9.7,48,2026-07-18 11:37:00,Clear,High,3.7
D00115,3,Westfield,Sunset Hills,7.59,31,2026-04-01 09:51:00,Rain,Low,4.0
D00116,22,Downtown,Sunset Hills,9.94,50,2026-03-20 14:30:00,Clear,Medium,4.0
D00117,31,Downtown,Eastgate,2.71,34,2026-07-29 05:30:00,Rain,Medium,4.0
D00118,8,Harbor View,Harbor View,5.43,25,2026-05-23 10:51:00,Clear,Medium,3.9
D00119,9,Downtown,Downtown,6.69,39,2026-05-20 02:30:00,Clear,Low,3.9
D00120,31,Harbor View,Westfield,11.34,59,2026-03-22 14:46:00,Fog,High,3.2
D00121,36,Sunset Hills,Sunset Hills,6.88,40,2026-07-11 05:17:00,Storm,Medium,4.9
D00122,6,Eastgate,Westfield,10.07,45,2026-04-11 17:48:00,Clear,Medium,4.3
D00123,4,Old Town,Eastgate,5.43,32,2026-06-13 22:54:00,Cloudy,Low,4.2
D00124,31,Sunset Hills,Westfield,1.46,26,2026-05-21 14:19:00,Cloudy,Medium,5.0
D00125,27,Old Town,Downtown,11.29,53,2026-05-02 08:49:00,Fog,High,4.0
D00126,19,Harbor View,Sunset Hills,3.86,16,2026-07-08 07:31:00,Cloudy,Low,3.7
D00127,22,Riverside,Riverside,10.39,63,2026-06-23 18:21:00,Storm,High,3.9
D00128,31,Uptown,Downtown,5.8,27,2026-06-06 11:45:00,Clear,Low,4.0
D00129,16,Riverside,Sunset Hills,8.48,48,2026-05-25 18:35:00,Fog,High,3.3
D00130,40,Sunset Hills,Sunset Hills,5.9,35,2026-07-08 08:51:00,Fog,Medium,3.1
D00131,16,Old Town,Riverside,8.68,41,2026-03-30 09:27:00,Clear,Medium,4.4
D00132,21,Downtown,Downtown,6.27,41,2026-06-20 01:23:00,Storm,Medium,4.2
D00133,30,Old Town,Downtown,0.83,9,2026-05-02 15:08:00,Clear,Low,4.8
D00134,31,Riverside,Riverside,7.99,45,2026-06-26 19:11:00,Cloudy,High,4.8
D00135,6,Old Town,Uptown,11.92,51,2026-05-14 20:49:00,Clear,Low,3.9
D00136,35,Old Town,Old Town,4.68,30,2026-06-14 16:31:00,Clear,High,4.0
D00137,2,Sunset Hills,Sunset Hills,5.8,27,2026-07-17 04:58:00,Cloudy,High,4.4
D00138,4,Westfield,Westfield,11.06,59,2026-05-29 16:08:00,Rain,Medium,3.0
D00139,34,Sunset Hills,Sunset Hills,11.42,58,2026-06-02 22:25:00,Storm,High,3.6
D00140,25,Downtown,Downtown,4.16,20,2026-04-27 10:51:00,Clear,Medium,4.7
D00141,4,Riverside,Riverside,2.3,18,2026-04-27 06:27:00,Clear,Low,3.5
D00142,13,Riverside,Riverside,9.81,36,2026-08-01 21:48:00,Rain,Medium,4.5
D00143,14,Harbor View,Riverside,7.57,29,2026-04-11 16:16:00,Clear,High,4.0
D00144,17,Eastgate,Eastgate,9.79,46,2026-04-06 09:54:00,Cloudy,High,4.4
D00145,15,Sunset Hills,Sunset Hills,7.34,38,2026-06-06 06:01:00,Cloudy,Low,4.5
D00146,36,Westfield,Old Town,7.99,32,2026-06-07 08:14:00,Clear,Low,3.9
D00147,35,Westfield,Downtown,9.36,41,2026-07-23 02:57:00,Clear,High,4.9
D00148,4,Eastgate,Sunset Hills,6.76,34,2026-04-10 00:00:00,Clear,Low,3.6
D00149,7,Eastgate,Eastgate,6.7,25,2026-06-11 17:21:00,Cloudy,Low,4.6
D00150,15,Riverside,Riverside,5.05,38,2026-08-03 21:35:00,Rain,Low,4.2
D00151,22,Uptown,Riverside,3.17,44,2026-03-29 22:46:00,Storm,High,4.1
D00152,37,Old Town,Old Town,7.37,33,2026-05-23 23:47:00,Cloudy,Medium,4.3
D00153,25,Old Town,Old Town,9.65,27,2026-05-05 00:52:00,Cloudy,Low,3.8
D00154,22,Eastgate,Harbor View,3.86,29,2026-05-20 23:20:00,Fog,Medium,5.0
D00155,40,Riverside,Riverside,5.06,25,2026-07-21 15:51:00,Cloudy,Low,4.6
D00156,24,Downtown,Downtown,5.83,46,2026-07-20 18:33:00,Rain,Medium,4.2
D00157,1,Riverside,Riverside,7.07,25,2026-07-21 00:03:00,Fog,Low,4.2
D00158,18,Sunset Hills,Sunset Hills,5.52,28,2026-06-30 10:43:00,Clear,Low,4.6
D00159,7,Westfield,Westfield,7.75,27,2026-05-02 13:07:00,Cloudy,Low,5.0
D00160,21,Eastgate,Eastgate,11.6,40,2026-04-11 13:49:00,Fog,Low,3.6
D00161,25,Downtown,Harbor View,7.12,28,2026-05-10 20:01:00,Rain,Medium,3.7
D00162,14,Harbor View,Riverside,2.36,17,2026-04-29 02:29:00,Clear,Low,4.8
D00163,31,Uptown,Uptown,6.89,43,2026-04-04 01:34:00,Cloudy,Medium,3.7
D00164,16,Old Town,Uptown,8.39,49,2026-07-31 05:19:00,Clear,High,3.9
D00165,33,Sunset Hills,Sunset Hills,3.28,23,2026-03-16 01:24:00,Clear,Medium,3.6
D00166,7,Riverside,Riverside,11.34,35,2026-07-21 20:07:00,Clear,Low,4.3
D00167,29,Sunset Hills,Old Town,9.87,35,2026-07-25 14:58:00,Clear,High,3.6
D00168,12,Riverside,Riverside,3.4,20,2026-03-21 10:31:00,Clear,Low,3.9
D00169,38,Old Town,Old Town,9.23,47,2026-06-18 17:43:00,Cloudy,Low,4.7
D00170,30,Eastgate,Eastgate,4.31,24,2026-04-08 07:20:00,Clear,Medium,4.6
D00171,20,Eastgate,Eastgate,3.47,32,2026-07-08 13:53:00,Clear,Medium,4.6
D00172,12,Sunset Hills,Uptown,4.03,30,2026-03-22 18:29:00,Clear,High,3.6
D00173,13,Westfield,Sunset Hills,5.46,25,2026-04-29 02:29:00,Cloudy,Medium,4.4
D00174,18,Sunset Hills,Sunset Hills,9.12,44,2026-06-29 09:24:00,Cloudy,Medium,4.3
D00175,3,Sunset Hills,Sunset Hills,9.04,32,2026-06-17 10:54:00,Cloudy,Low,4.1
D00176,8,Sunset Hills,Sunset Hills,10.44,39,2026-03-14 01:38:00,Rain,Medium,3.6
D00177,23,Riverside,Riverside,11.76,38,2026-03-27 18:40:00,Clear,Medium,4.0
D00178,27,Riverside,Uptown,8.77,43,2026-07-09 16:51:00,Cloudy,High,3.6
D00179,27,Westfield,Westfield,9.2,42,2026-07-19 11:28:00,Cloudy,High,4.3
D00180,30,Westfield,Old Town,3.24,19,2026-07-26 06:35:00,Clear,Low,5.0
D00181,32,Uptown,Downtown,9.58,31,2026-07-31 20:20:00,Clear,Low,3.8
D00182,9,Westfield,Westfield,4.84,36,2026-06-02 21:19:00,Clear,Medium,4.1
D00183,6,Harbor View,Harbor View,2.29,29,2026-06-18 08:56:00,Clear,Medium,4.3
D00184,9,Sunset Hills,Sunset Hills,9.83,49,2026-05-05 21:14:00,Clear,Medium,4.5
D00185,10,Uptown,Uptown,2.64,23,2026-08-09 04:19:00,Clear,Low,3.2
D00186,6,Eastgate,Eastgate,5.1,33,2026-07-11 05:14:00,Fog,Low,4.5
D00187,2,Old Town,Eastgate,2.91,19,2026-04-01 04:28:00,Clear,Medium,3.5
D00188,16,Sunset Hills,Riverside,11.26,47,2026-03-29 23:37:00,Clear,High,3.9
D00189,5,Downtown,Downtown,1.25,17,2026-08-08 15:47:00,Clear,High,4.4
D00190,26,Uptown,Uptown,1.69,26,2026-06-01 21:41:00,Fog,High,4.7
D00191,28,Sunset Hills,Eastgate,11.16,50,2026-07-28 16:55:00,Clear,Medium,4.3
D00192,1,Harbor View,Harbor View,11.47,49,2026-08-09 18:29:00,Rain,High,3.8
D00193,8,Downtown,Downtown,1.52,23,2026-04-24 15:27:00,Cloudy,Medium,4.6
D00194,11,Eastgate,Eastgate,8.9,43,2026-07-16 05:17:00,Clear,Medium,4.4
D00195,25,Westfield,Westfield,11.04,31,2026-08-02 06:09:00,Cloudy,Medium,4.7
D00196,37,Eastgate,Eastgate,9.81,50,2026-07-29 18:46:00,Fog,High,4.3
D00197,6,Riverside,Riverside,7.11,33,2026-05-09 17:42:00,Clear,Medium,4.4
D00198,35,Sunset Hills,Sunset Hills,6.87,38,2026-04-29 23:46:00,Rain,Medium,4.2
D00199,20,Eastgate,Eastgate,11.57,47,2026-06-12 10:29:00,Fog,Low,4.2
D00200,24,Harbor View,Riverside,2.3,20,2026-03-16 20:28:00,Cloudy,Low,4.1
D00201,17,Uptown,Harbor View,3.85,25,2026-05-20 13:32:00,Clear,Low,3.6
D00202,30,Uptown,Uptown,3.13,17,2026-03-27 12:11:00,Clear,Low,4.6
D00203,21,Westfield,Westfield,6.55,29,2026-06-09 12:35:00,Cloudy,Low,4.3
D00204,36,Sunset Hills,Sunset Hills,0.93,30,2026-07-16 19:53:00,Cloudy,High,4.9
D00205,38,Downtown,Riverside,10.91,50,2026-08-06 21:48:00,Clear,Low,3.5
D00206,4,Old Town,Harbor View,5.09,37,2026-05-02 08:59:00,Clear,Medium,4.0
D00207,40,Eastgate,Westfield,6.97,33,2026-04-06 10:04:00,Clear,Low,4.5
D00208,35,Downtown,Old Town,6.23,31,2026-04-11 06:10:00,Fog,Medium,4.4
D00209,18,Riverside,Sunset Hills,7.34,33,2026-03-29 12:11:00,Clear,Low,4.6
D00210,15,Uptown,Harbor View,3.45,28,2026-05-13 18:49:00,Clear,Medium,4.8
D00211,37,Westfield,Westfield,4.26,22,2026-06-24 08:26:00,Clear,Low,4.7
D00212,40,Harbor View,Old Town,1.05,33,2026-06-27 13:57:00,Rain,High,3.3
D00213,26,Uptown,Uptown,11.73,35,2026-05-26 13:52:00,Cloudy,Medium,3.8
D00214,38,Old Town,Old Town,8.96,48,2026-05-28 19:49:00,Fog,High,5.0
D00215,39,Uptown,Eastgate,6.36,21,2026-03-20 20:01:00,Clear,Low,4.7
D00216,22,Harbor View,Harbor View,1.56,22,2026-06-19 16:16:00,Clear,Low,4.3
D00217,32,Westfield,Westfield,6.17,33,2026-05-07 20:07:00,Storm,Medium,3.9
D00218,2,Uptown,Uptown,2.71,11,2026-07-16 21:39:00,Clear,Medium,4.1
D00219,2,Old Town,Uptown,1.93,11,2026-04-22 18:57:00,Clear,Low,3.7
D00220,19,Riverside,Riverside,6.96,23,2026-07-30 11:24:00,Clear,Low,4.3
D00221,7,Downtown,Downtown,10.25,34,2026-05-29 21:30:00,Clear,Medium,4.3
D00222,24,Westfield,Westfield,5.73,41,2026-04-19 22:44:00,Clear,High,4.0
D00223,23,Riverside,Riverside,1.48,21,2026-03-14 16:25:00,Clear,Medium,4.2
D00224,20,Uptown,Uptown,10.89,49,2026-08-03 07:24:00,Cloudy,Medium,3.9
D00225,14,Harbor View,Harbor View,5.68,30,2026-04-25 21:17:00,Fog,Medium,3.9
D00226,25,Riverside,Riverside,5.93,32,2026-05-20 15:27:00,Storm,High,3.8
D00227,10,Uptown,Uptown,9.53,60,2026-07-17 20:24:00,Cloudy,High,3.2
D00228,39,Sunset Hills,Sunset Hills,7.72,24,2026-06-02 11:51:00,Cloudy,Medium,4.9
D00229,31,Downtown,Downtown,3.94,36,2026-05-17 14:41:00,Clear,Medium,4.8
D00230,21,Downtown,Riverside,11.03,38,2026-06-24 09:47:00,Clear,Medium,4.1
D00231,20,Harbor View,Harbor View,7.17,45,2026-07-08 07:04:00,Clear,High,4.3
D00232,13,Downtown,Downtown,7.92,22,2026-04-15 07:35:00,Clear,Low,4.8
D00233,36,Eastgate,Eastgate,8.52,39,2026-06-06 00:07:00,Clear,Medium,4.7
D00234,15,Old Town,Old Town,10.48,52,2026-04-29 07:59:00,Fog,Medium,4.1
D00235,17,Eastgate,Westfield,5.02,23,2026-06-02 10:03:00,Clear,Low,4.5
D00236,7,Downtown,Downtown,7.45,30,2026-05-08 06:19:00,Clear,Medium,4.3
D00237,17,Westfield,Westfield,9.37,58,2026-06-24 19:27:00,Storm,High,3.3
D00238,2,Westfield,Westfield,5.49,18,2026-05-28 15:02:00,Clear,Low,3.7
D00239,35,Westfield,Old Town,2.7,22,2026-04-04 14:06:00,Cloudy,Medium,4.9
D00240,22,Westfield,Westfield,10.56,51,2026-05-13 16:13:00,Clear,High,4.5
D00241,4,Westfield,Westfield,2.98,26,2026-07-24 08:04:00,Clear,Medium,4.2
D00242,13,Uptown,Uptown,4.34,22,2026-03-19 09:51:00,Cloudy,High,4.4
D00243,29,Downtown,Downtown,2.57,27,2026-06-29 05:12:00,Cloudy,High,4.7
D00244,25,Downtown,Downtown,11.44,43,2026-06-21 00:37:00,Storm,High,4.1
D00245,23,Riverside,Riverside,4.23,21,2026-05-05 07:23:00,Clear,Low,4.2
D00246,9,Uptown,Sunset Hills,11.42,59,2026-05-12 17:50:00,Fog,Medium,4.8
D00247,33,Old Town,Old Town,7.97,36,2026-08-02 11:04:00,Cloudy,Medium,4.1
D00248,8,Old Town,Old Town,6.11,27,2026-07-11 06:44:00,Clear,Medium,4.0
D00249,39,Harbor View,Harbor View,7.72,29,2026-07-16 07:14:00,Clear,High,4.3
D00250,27,Riverside,Riverside,3.13,28,2026-03-24 08:02:00,Fog,Low,4.3
D00251,6,Downtown,Downtown,3.39,25,2026-07-17 15:19:00,Fog,Low,4.4
D00252,24,Old Town,Old Town,9.29,52,2026-07-13 20:06:00,Clear,High,3.8
D00253,18,Sunset Hills,Sunset Hills,5.29,27,2026-05-16 18:53:00,Fog,Low,4.9
D00254,9,Harbor View,Uptown,7.42,48,2026-07-16 10:02:00,Cloudy,Medium,4.5
D00255,9,Sunset Hills,Riverside,1.51,25,2026-04-28 09:58:00,Cloudy,Low,3.9
D00256,22,Downtown,Downtown,8.94,42,2026-07-18 10:18:00,Clear,Medium,3.9
D00257,11,Downtown,Sunset Hills,6.31,39,2026-06-30 21:12:00,Clear,High,4.3
D00258,6,Harbor View,Harbor View,10.39,37,2026-03-18 09:55:00,Clear,Low,4.2
D00259,36,Riverside,Riverside,7.94,44,2026-07-19 04:21:00,Storm,Medium,3.7
D00260,30,Uptown,Uptown,4.87,19,2026-04-12 01:18:00,Clear,Low,4.3
D00261,34,Eastgate,Downtown,10.0,42,2026-06-30 08:52:00,Cloudy,Medium,4.5
D00262,30,Harbor View,Riverside,7.89,29,2026-04-27 22:01:00,Cloudy,Low,3.9
D00263,1,Downtown,Harbor View,6.49,24,2026-03-15 08:01:00,Fog,Low,3.9
D00264,39,Eastgate,Harbor View,8.56,29,2026-04-26 04:02:00,Clear,Medium,4.6
D00265,39,Harbor View,Westfield,9.05,33,2026-03-24 13:15:00,Rain,Low,5.0
D00266,12,Downtown,Downtown,9.32,52,2026-05-21 01:53:00,Rain,Medium,3.8
D00267,1,Downtown,Downtown,8.31,39,2026-05-06 19:57:00,Clear,High,4.5
D00268,19,Harbor View,Downtown,7.7,27,2026-05-12 09:54:00,Cloudy,Medium,5.0
D00269,4,Westfield,Westfield,0.95,25,2026-05-23 06:57:00,Clear,Medium,3.3
D00270,38,Riverside,Eastgate,2.79,26,2026-06-23 14:32:00,Cloudy,Low,4.8
D00271,36,Downtown,Downtown,4.5,26,2026-03-15 16:00:00,Cloudy,Low,4.7
D00272,37,Riverside,Riverside,11.52,55,2026-05-22 07:46:00,Rain,High,4.5
D00273,14,Old Town,Old Town,11.44,38,2026-05-11 14:47:00,Rain,Medium,3.9
D00274,23,Harbor View,Harbor View,10.72,39,2026-06-10 22:17:00,Clear,High,4.4
D00275,24,Downtown,Sunset Hills,10.86,53,2026-04-09 22:42:00,Clear,Medium,3.9
D00276,5,Harbor View,Eastgate,6.82,34,2026-04-25 20:47:00,Cloudy,High,3.5
D00277,30,Harbor View,Harbor View,2.79,22,2026-07-20 21:57:00,Clear,Low,3.3
D00278,26,Old Town,Old Town,6.79,32,2026-05-04 02:53:00,Rain,Medium,3.6
D00279,33,Eastgate,Eastgate,3.95,30,2026-05-26 04:55:00,Fog,Medium,4.1
D00280,26,Riverside,Riverside,10.73,38,2026-07-06 14:17:00,Fog,High,3.2
D00281,3,Downtown,Downtown,11.41,42,2026-05-03 06:25:00,Clear,Medium,3.9
D00282,12,Sunset Hills,Westfield,8.31,40,2026-06-23 20:49:00,Rain,Low,2.6
D00283,5,Downtown,Downtown,4.8,21,2026-03-16 08:39:00,Cloudy,Low,4.5
D00284,22,Eastgate,Uptown,9.85,43,2026-03-20 05:37:00,Fog,Low,4.9
D00285,24,Westfield,Old Town,4.82,36,2026-04-11 09:32:00,Clear,Medium,4.8
D00286,13,Downtown,Riverside,6.48,22,2026-07-23 23:06:00,Clear,Medium,4.7
D00287,35,Sunset Hills,Uptown,10.78,51,2026-05-10 11:46:00,Rain,High,4.5
D00288,1,Old Town,Old Town,5.8,29,2026-06-30 07:52:00,Clear,High,3.2
D00289,3,Sunset Hills,Eastgate,3.42,24,2026-07-26 15:37:00,Cloudy,Medium,3.8
