Order_ID,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min
321,11.21,Clear,High,Afternoon,Scooter,23,1.0,76
863,10.73,Clear,Unknown,Afternoon,Bike,7,5.0,57
562,4.65,Clear,Medium,Evening,Bike,21,1.0,46
861,15.62,Snowy,High,Evening,Scooter,26,2.0,81
478,11.3,Snowy,Medium,Afternoon,Bike,15,8.0,70
941,5.84,Clear,Unknown,Evening,Bike,21,7.0,35
415,12.82,Rainy,Medium,Evening,Bike,28,9.0,72
529,1.6,Foggy,Low,Night,Scooter,24,,37
339,9.75,Clear,Low,Afternoon,Bike,22,7.0,50
513,18.69,Windy,Medium,Night,Bike,23,9.0,74
161,7.67,Foggy,Medium,Afternoon,Scooter,22,8.0,59
588,3.01,Clear,Medium,Evening,Bike,14,4.0,26
716,18.63,Windy,Low,Afternoon,Bike,11,5.0,85
984,1.97,Clear,High,Morning,Car,28,7.0,43
887,13.23,Clear,Medium,Night,Bike,20,8.0,70
987,13.92,Snowy,Low,Morning,Scooter,18,4.0,70
751,2.78,Rainy,Low,Unknown,Bike,21,4.0,37
454,18.17,Rainy,Low,Afternoon,Car,13,0.0,71
319,3.55,Clear,Medium,Evening,Bike,23,0.0,43
202,2.14,Clear,Low,Afternoon,Bike,25,1.0,36
246,18.6,Rainy,Medium,Morning,Car,28,9.0,77
571,10.52,Rainy,Medium,Afternoon,Scooter,8,4.0,56
658,7.58,Clear,High,Afternoon,Scooter,19,9.0,57
566,12.0,Clear,Low,Evening,Car,25,0.0,75
80,2.76,Windy,Medium,Night,Bike,6,2.0,27
118,4.14,Foggy,Medium,Morning,Bike,21,0.0,46
939,2.8,Clear,High,Morning,Scooter,10,,33
553,11.26,Foggy,High,Afternoon,Bike,14,2.0,70
593,4.05,Clear,Medium,Afternoon,Scooter,21,5.0,39
808,18.55,Clear,Low,Afternoon,Car,11,9.0,69
387,6.0,Snowy,Low,Morning,Car,20,8.0,53
2,19.04,Rainy,Low,Evening,Car,12,6.0,60
59,1.38,Clear,Medium,Morning,Car,6,3.0,17
409,18.15,Rainy,High,Morning,Bike,22,7.0,108
583,10.11,Rainy,Unknown,Afternoon,Scooter,23,2.0,63
505,13.85,Clear,Low,Evening,Bike,29,5.0,71
96,10.13,Clear,Medium,Evening,Bike,22,0.0,65
772,17.01,Snowy,Low,Night,Bike,28,6.0,97
240,3.95,Clear,Low,Afternoon,Bike,13,5.0,25
310,5.78,Foggy,Low,Afternoon,Scooter,9,9.0,33
34,19.0,Clear,High,Morning,Car,28,3.0,96
535,15.5,Clear,Medium,Morning,Scooter,28,9.0,91
846,8.59,Clear,Low,Evening,Bike,22,2.0,43
654,15.04,Clear,Low,Morning,Car,24,5.0,60
798,11.52,Unknown,Medium,Morning,Scooter,25,2.0,58
970,9.78,Clear,Medium,Afternoon,Bike,18,3.0,58
585,12.85,Windy,Medium,Afternoon,Scooter,18,7.0,61
650,10.22,Snowy,Medium,Night,Bike,18,1.0,68
853,4.59,Foggy,Low,Evening,Scooter,19,8.0,36
643,4.62,Rainy,Medium,Afternoon,Car,8,3.0,33
309,16.01,Clear,Low,Afternoon,Car,12,4.0,72
715,7.3,Clear,Low,Night,Scooter,14,7.0,28
591,3.21,Rainy,High,Night,Scooter,16,0.0,42
699,3.51,Windy,Medium,Night,Bike,22,2.0,44
803,11.74,Clear,High,Evening,Car,6,3.0,54
426,11.22,Windy,High,Evening,Bike,25,5.0,79
700,9.88,Rainy,Medium,Morning,Car,7,0.0,43
685,18.62,Clear,Low,Evening,Scooter,27,6.0,75
732,16.38,Rainy,Medium,Night,Bike,7,,90
487,1.39,Clear,Medium,Afternoon,Bike,15,4.0,24
608,7.6,Foggy,Low,Morning,Bike,16,4.0,48
138,14.21,Clear,Medium,Evening,Bike,24,,58
615,17.53,Clear,Low,Afternoon,Bike,14,6.0,79
411,6.73,Clear,Medium,Afternoon,Bike,21,1.0,54
691,6.81,Clear,Medium,Evening,Bike,23,2.0,47
282,7.09,Snowy,Low,Morning,Scooter,13,8.0,37
215,14.39,Rainy,Medium,Morning,Scooter,6,,50
952,13.47,Clear,Medium,Evening,Bike,19,4.0,59
837,18.34,Clear,High,Night,Bike,9,4.0,92
176,3.9,Rainy,High,Morning,Car,25,9.0,54
611,1.27,Foggy,High,Afternoon,Bike,25,9.0,46
940,11.74,Clear,Low,Afternoon,Car,20,1.0,52
633,10.48,Rainy,Low,Afternoon,Car,10,7.0,45
237,5.98,Foggy,High,Morning,Bike,14,6.0,44
107,8.5,Clear,High,Evening,Car,13,3.0,54
773,2.99,Foggy,High,Afternoon,Bike,9,5.0,90
869,17.3,Clear,Low,Evening,Scooter,9,0.0,67
56,18.48,Clear,Medium,Night,Bike,8,0.0,82
463,15.05,Clear,Medium,Evening,Car,12,2.0,66
662,19.74,Rainy,High,Afternoon,Scooter,11,7.0,81
710,13.79,Rainy,Low,Night,Scooter,11,0.0,69
682,5.53,Windy,High,Morning,Bike,23,4.0,59
52,15.62,Rainy,Medium,Afternoon,Scooter,23,7.0,78
843,3.97,Clear,High,Afternoon,Bike,19,8.0,40
438,16.53,Snowy,Low,Afternoon,Scooter,24,9.0,99
190,5.22,Snowy,Medium,Unknown,Scooter,14,3.0,43
376,6.72,Foggy,Low,Evening,Bike,8,5.0,31
973,14.79,Clear,Medium,Morning,Scooter,12,9.0,64
437,1.92,Clear,Low,Unknown,Bike,8,7.0,14
858,9.71,Clear,Low,Afternoon,Car,27,5.0,61
455,2.67,Clear,Medium,Night,Car,17,6.0,28
890,5.24,Windy,High,Afternoon,Scooter,26,8.0,51
434,2.47,Rainy,Low,Afternoon,Car,22,6.0,34
733,13.47,Rainy,Low,Afternoon,Scooter,7,6.0,46
85,6.56,Windy,Medium,Unknown,Bike,14,1.0,47
116,17.49,Rainy,Low,Evening,Bike,27,9.0,97
652,10.97,Clear,Low,Afternoon,Scooter,27,3.0,51
954,18.33,Snowy,Medium,Morning,Scooter,5,5.0,67
435,2.14,Clear,High,Evening,Bike,18,3.0,34
358,11.92,Clear,Low,Afternoon,Scooter,14,4.0,46
898,17.98,Clear,Low,Evening,Bike,5,8.0,45
77,15.54,Clear,Low,Night,Bike,29,1.0,76
971,13.44,Clear,Low,Night,Bike,29,0.0,63
172,0.82,Windy,Low,Morning,Car,18,9.0,23
967,14.52,Clear,Medium,Afternoon,Car,26,5.0,86
559,15.23,Foggy,Low,Morning,Car,6,0.0,52
775,16.05,Snowy,Medium,Evening,Bike,11,2.0,89
230,12.81,Clear,Low,Morning,Bike,12,2.0,51
866,11.41,Windy,Medium,Afternoon,Scooter,17,4.0,68
414,11.68,Clear,Unknown,Afternoon,Scooter,25,7.0,70
382,14.09,Clear,High,Afternoon,Bike,12,6.0,67
807,18.72,Rainy,Medium,Afternoon,Bike,17,0.0,89
137,10.62,Foggy,Low,Evening,Scooter,29,1.0,73
746,18.04,Clear,Medium,Morning,Bike,8,5.0,71
472,19.41,Snowy,High,Evening,Car,21,3.0,100
536,18.92,Clear,High,Morning,Scooter,27,4.0,100
305,14.66,Snowy,High,Morning,Car,5,6.0,71
828,7.27,Windy,Low,Afternoon,Bike,10,5.0,35
433,12.56,Clear,High,Evening,Bike,17,5.0,69
253,17.1,Clear,Medium,Evening,Bike,25,5.0,65
147,12.39,Snowy,Medium,Evening,Bike,14,8.0,56
745,5.03,Clear,Medium,Morning,Bike,17,,38
328,12.43,Snowy,Low,Afternoon,Car,12,0.0,70
693,10.4,Clear,Low,Evening,Bike,16,4.0,52
557,3.11,Rainy,Medium,Morning,Scooter,21,1.0,43
840,12.83,Clear,Low,Evening,Bike,5,8.0,50
298,4.71,Clear,Low,Morning,Bike,20,6.0,31
86,6.84,Clear,Medium,Evening,Bike,25,1.0,51
742,6.38,Snowy,Low,Evening,Bike,16,1.0,111
225,5.67,Clear,Low,Morning,Scooter,11,9.0,27
285,11.78,Clear,Low,Afternoon,Scooter,26,3.0,71
148,10.3,Rainy,Low,Evening,Bike,29,0.0,73
196,7.31,Foggy,Medium,Afternoon,Bike,26,2.0,65
740,7.85,Clear,Low,Afternoon,Scooter,7,9.0,34
799,14.08,Clear,High,Morning,Bike,28,6.0,66
334,2.76,Windy,Medium,Morning,Scooter,8,5.0,22
42,10.16,Snowy,Medium,Night,Bike,10,1.0,67
986,10.16,Clear,High,Night,Bike,12,5.0,52
688,5.96,Clear,Medium,Afternoon,Bike,22,7.0,45
204,18.02,Clear,Unknown,Evening,Car,12,3.0,77
560,12.6,Windy,Medium,Afternoon,Car,8,6.0,58
383,12.76,Windy,High,Morning,Scooter,27,,74
425,1.62,Windy,Low,Evening,Bike,9,8.0,16
399,15.14,Rainy,Medium,Morning,Bike,8,6.0,66
531,16.35,Clear,Medium,Morning,Bike,16,0.0,66
93,15.34,Rainy,Low,Afternoon,Bike,18,6.0,54
612,16.09,Rainy,Low,Morning,Bike,21,8.0,66
563,3.16,Snowy,Low,Morning,Car,9,,27
97,10.69,Clear,Medium,Night,Bike,25,9.0,67
347,12.88,Clear,Medium,Morning,Scooter,8,5.0,52
66,11.08,Snowy,Medium,Morning,Bike,9,0.0,57
457,0.72,Rainy,Medium,Afternoon,Scooter,9,2.0,23
92,14.41,Rainy,Unknown,Night,Bike,16,6.0,85
789,9.51,Clear,High,Morning,Bike,26,9.0,63
84,1.74,Foggy,High,Afternoon,Scooter,8,9.0,28
231,16.0,Foggy,Medium,Afternoon,Scooter,13,3.0,65
325,19.12,Windy,High,Evening,Car,8,0.0,92
734,10.7,Clear,High,Afternoon,Car,8,4.0,57
805,8.77,Clear,Medium,Morning,Car,12,2.0,42
287,9.58,Clear,High,Afternoon,Car,26,8.0,60
586,5.18,Clear,Medium,Afternoon,Car,9,2.0,30
701,10.89,Windy,Medium,Evening,Bike,7,0.0,58
659,13.1,Clear,Low,Evening,Bike,28,2.0,72
690,4.15,Unknown,Medium,Morning,Car,17,8.0,46
763,5.35,Clear,Medium,Afternoon,Scooter,24,6.0,43
494,4.17,Unknown,Low,Evening,Scooter,5,1.0,22
14,4.64,Clear,Low,Afternoon,Bike,15,9.0,24
594,7.24,Clear,Medium,Afternoon,Bike,28,7.0,57
721,18.8,Clear,High,Afternoon,Bike,23,7.0,95
407,8.09,Foggy,Low,Evening,Car,22,2.0,56
417,6.22,Clear,Low,Afternoon,Bike,16,9.0,29
892,17.19,Clear,Medium,Afternoon,Bike,11,8.0,76
974,4.69,Rainy,Medium,Evening,Scooter,12,7.0,36
812,16.86,Snowy,Medium,Afternoon,Car,13,4.0,88
719,2.92,Windy,High,Afternoon,Bike,24,4.0,48
292,1.23,Clear,Low,Evening,Bike,18,6.0,21
74,16.4,Clear,High,Morning,Scooter,12,2.0,70
337,17.18,Clear,Medium,Night,Scooter,13,1.0,62
7,1.63,Rainy,Medium,Night,Bike,24,5.0,38
904,11.87,Clear,Medium,Morning,Bike,10,6.0,43
933,19.7,Rainy,Low,Evening,Car,16,6.0,66
537,17.07,Clear,Medium,Morning,Bike,20,6.0,73
972,18.77,Foggy,Low,Afternoon,Car,15,,71
29,12.05,Clear,Low,Evening,Scooter,29,4.0,61
802,3.47,Snowy,High,Night,Bike,24,9.0,53
995,7.54,Snowy,Low,Afternoon,Bike,20,,55
951,12.21,Clear,High,Morning,Bike,9,4.0,57
132,4.83,Clear,Low,Evening,Bike,11,1.0,29
626,7.69,Rainy,High,Morning,Scooter,16,3.0,58
706,19.8,Clear,High,Evening,Bike,7,3.0,88
727,3.23,Rainy,Low,Morning,Car,25,7.0,42
996,2.29,Rainy,High,Afternoon,Car,8,8.0,80
606,9.49,Rainy,Medium,Morning,Car,23,6.0,53
131,8.64,Snowy,Low,Evening,Bike,29,4.0,62
670,6.06,Foggy,Low,Afternoon,Scooter,10,8.0,41
842,13.44,Clear,Medium,Morning,Car,22,1.0,79
565,7.34,Foggy,Medium,Afternoon,Bike,22,5.0,93
380,6.0,Rainy,Medium,Evening,Scooter,21,2.0,47
955,8.67,Windy,High,Morning,Bike,20,4.0,55
151,18.21,Unknown,Low,Evening,Bike,6,3.0,74
703,7.06,Clear,Low,Afternoon,Scooter,26,5.0,51
89,17.8,Windy,High,Afternoon,Car,12,9.0,73
63,16.66,Snowy,High,Afternoon,Scooter,29,7.0,95
467,6.07,Unknown,Low,Afternoon,Bike,18,4.0,35
120,11.02,Clear,High,Morning,Scooter,22,2.0,70
220,17.06,Clear,Low,Evening,Bike,9,9.0,66
752,18.83,Unknown,Medium,Night,Bike,8,0.0,68
515,1.38,Clear,Medium,Evening,Scooter,5,8.0,13
111,6.15,Foggy,Low,Evening,Scooter,26,5.0,48
20,6.18,Clear,Medium,Evening,Bike,9,9.0,35
78,1.94,Rainy,Medium,Morning,Bike,16,0.0,35
90,9.71,Clear,Low,Morning,Bike,8,1.0,49
859,11.51,Foggy,Low,Afternoon,Car,5,7.0,57
324,5.96,Clear,Low,Afternoon,Bike,26,6.0,48
75,14.28,Windy,High,Afternoon,Scooter,23,5.0,77
503,6.54,Clear,Medium,Night,Bike,10,7.0,39
564,0.78,Clear,Low,Afternoon,Bike,11,0.0,18
272,16.3,Foggy,Low,Morning,Car,12,1.0,100
189,10.83,Clear,Medium,Evening,Scooter,8,9.0,51
754,7.03,Clear,Low,Evening,Scooter,21,1.0,44
517,7.84,Rainy,Low,Morning,Scooter,7,8.0,36
465,19.26,Windy,Medium,Morning,Scooter,21,6.0,67
545,12.55,Windy,Low,Evening,Bike,13,8.0,51
625,12.56,Clear,Low,Morning,Car,22,8.0,49
774,8.25,Windy,Medium,Evening,Car,24,4.0,62
694,5.23,Clear,Medium,Morning,Scooter,19,4.0,37
35,19.33,Clear,Medium,Morning,Bike,7,8.0,73
978,1.5,Clear,Low,Afternoon,Bike,10,1.0,17
303,11.04,Clear,Medium,Afternoon,Scooter,8,2.0,54
969,11.54,Clear,High,Afternoon,Car,10,0.0,56
227,19.47,Clear,Low,Morning,Bike,16,8.0,83
300,2.16,Snowy,Low,Evening,Scooter,15,0.0,36
193,18.06,Clear,Medium,Night,Bike,9,8.0,52
966,7.44,Rainy,Medium,Evening,Bike,6,1.0,39
182,2.71,Clear,Low,Morning,Scooter,6,1.0,20
759,17.93,Clear,Medium,Afternoon,Bike,29,4.0,85
19,8.92,Windy,Unknown,Morning,Bike,25,4.0,62
360,11.72,Rainy,Low,Evening,Bike,11,9.0,42
776,3.42,Clear,Medium,Night,Car,11,9.0,24
10,14.31,Clear,Medium,Morning,Bike,9,8.0,47
649,15.89,Snowy,Medium,Afternoon,Car,15,9.0,91
304,12.93,Rainy,Low,Afternoon,Scooter,25,0.0,61
880,4.83,Rainy,Low,Morning,Car,25,9.0,47
468,17.44,Clear,Low,Evening,Bike,25,9.0,89
365,18.86,Snowy,Medium,Night,Bike,18,1.0,89
910,7.9,Clear,Low,Afternoon,Scooter,22,,48
307,10.57,Snowy,Low,Afternoon,Bike,28,9.0,59
477,1.94,Foggy,Low,Night,Bike,10,1.0,25
117,16.17,Clear,Medium,Evening,Car,10,2.0,116
813,2.93,Clear,Medium,Morning,Bike,24,8.0,94
994,12.01,Clear,Low,Morning,Scooter,26,6.0,57
645,2.84,Clear,Low,Evening,Scooter,24,2.0,35
950,12.15,Clear,High,Morning,Car,12,6.0,63
221,13.32,Windy,Medium,Afternoon,Bike,26,0.0,71
199,17.8,Snowy,Medium,Morning,Bike,16,9.0,73
276,10.28,Clear,Medium,Evening,Scooter,29,3.0,71
165,2.26,Clear,Medium,Morning,Scooter,6,3.0,19
493,5.91,Clear,Medium,Evening,Scooter,29,4.0,57
88,12.93,Clear,Medium,Morning,Scooter,20,8.0,58
672,17.99,Foggy,Low,Morning,Car,11,2.0,84
613,12.74,Rainy,Low,Afternoon,Bike,17,9.0,63
311,9.06,Clear,Medium,Evening,Bike,23,4.0,47
25,9.39,Windy,Medium,Morning,Scooter,21,9.0,50
602,5.93,Clear,Low,Afternoon,Scooter,19,3.0,36
235,4.31,Rainy,Medium,Afternoon,Bike,9,2.0,35
907,16.44,Windy,High,Afternoon,Car,8,0.0,80
788,8.32,Rainy,Low,Afternoon,Car,12,2.0,49
722,4.03,Clear,Medium,Evening,Bike,9,5.0,25
283,7.82,Rainy,Medium,Evening,Bike,16,8.0,45
408,0.71,Foggy,Low,Night,Bike,29,1.0,41
884,2.53,Snowy,Low,Morning,Bike,6,8.0,24
198,17.99,Windy,High,Evening,Bike,5,1.0,73
110,2.0,Clear,High,Evening,Scooter,10,2.0,30
947,3.17,Clear,Medium,Evening,Scooter,17,6.0,33
929,12.85,Rainy,Medium,Evening,Scooter,6,7.0,61
848,19.94,Clear,Low,Afternoon,Bike,26,6.0,83
458,9.64,Rainy,Medium,Evening,Bike,14,6.0,52
57,2.23,Snowy,Medium,Evening,Car,14,0.0,41
149,1.5,Foggy,Medium,Evening,Scooter,15,4.0,32
495,9.54,Rainy,Medium,Evening,Scooter,11,5.0,47
256,11.36,Clear,Medium,Morning,Scooter,8,2.0,52
224,7.67,Windy,Low,Morning,Car,9,2.0,31
642,6.78,Foggy,Low,Night,Bike,18,6.0,42
826,18.44,Rainy,High,Morning,Bike,27,7.0,80
447,19.73,Rainy,Low,Evening,Bike,8,8.0,64
270,6.23,Clear,Medium,Evening,Car,20,1.0,51
419,13.61,Clear,Low,Morning,Bike,26,0.0,66
506,3.67,Clear,Low,Unknown,Bike,9,0.0,26
809,9.29,Clear,Medium,Morning,Bike,17,2.0,49
101,1.11,Clear,High,Morning,Scooter,22,8.0,35
607,4.52,Unknown,Low,Evening,Car,17,0.0,71
943,13.2,Snowy,Low,Morning,Car,14,3.0,62
770,16.51,Clear,Medium,Morning,Bike,7,1.0,79
689,15.51,Rainy,Medium,Morning,Scooter,10,8.0,81
393,7.75,Unknown,Medium,Evening,Scooter,21,1.0,55
937,0.86,Clear,Medium,Afternoon,Car,21,7.0,28
787,11.88,Rainy,High,Afternoon,Car,29,9.0,78
280,16.02,Clear,Low,Evening,Bike,20,7.0,61
179,18.77,Snowy,Medium,Evening,Bike,24,0.0,115
135,18.89,Rainy,Medium,Morning,Scooter,22,1.0,74
800,18.49,Clear,Low,Afternoon,Scooter,14,6.0,71
617,1.69,Windy,Unknown,Afternoon,Car,11,7.0,20
876,3.54,Rainy,Medium,Afternoon,Scooter,17,4.0,41
960,14.89,Snowy,High,Morning,Scooter,17,6.0,87
627,9.52,Clear,Low,Unknown,Bike,12,1.0,49
48,10.64,Clear,Medium,Afternoon,Scooter,14,5.0,45
452,11.39,Rainy,High,Evening,Scooter,14,1.0,72
83,6.95,Clear,Medium,Morning,Scooter,25,2.0,58
983,2.58,Clear,Medium,Morning,Scooter,25,7.0,37
540,3.02,Rainy,Medium,Morning,Bike,23,1.0,46
450,2.13,Rainy,Low,Morning,Scooter,9,2.0,22
711,15.32,Clear,Medium,Morning,Bike,17,6.0,80
313,0.99,Unknown,Medium,Evening,Bike,15,,32
87,14.73,Rainy,Low,Afternoon,Bike,24,6.0,74
632,17.96,Clear,Medium,Unknown,Bike,22,2.0,76
333,0.78,Clear,Medium,Morning,Bike,6,1.0,17
744,10.3,Clear,Low,Morning,Car,12,7.0,41
18,10.73,Rainy,High,Afternoon,Car,27,6.0,83
430,2.78,Unknown,High,Afternoon,Scooter,9,0.0,41
389,15.14,Windy,Medium,Morning,Bike,15,4.0,71
33,1.77,Clear,Medium,Evening,Bike,14,9.0,22
766,11.61,Clear,High,Morning,Car,19,1.0,67
40,9.08,Clear,Low,Afternoon,Scooter,14,5.0,49
514,17.39,Clear,Medium,Evening,Scooter,5,6.0,46
484,12.74,Clear,Low,Night,Scooter,18,0.0,67
327,11.31,Clear,High,Evening,Bike,20,0.0,67
873,13.06,Rainy,High,Morning,Bike,17,8.0,59
54,17.95,Snowy,High,Morning,Scooter,16,,96
418,6.91,Clear,Low,Evening,Bike,27,8.0,91
363,9.44,Rainy,Unknown,Evening,Scooter,28,8.0,63
95,15.53,Clear,Low,Morning,Bike,26,6.0,83
542,12.32,Clear,Medium,Evening,Scooter,17,4.0,71
371,2.47,Windy,Medium,Morning,Bike,27,2.0,44
731,3.7,Clear,Medium,Morning,Bike,28,7.0,45
778,14.58,Clear,Low,Afternoon,Bike,13,,57
780,13.0,Foggy,Low,Evening,Bike,25,7.0,77
71,15.56,Clear,Medium,Evening,Bike,14,3.0,54
260,2.39,Rainy,Medium,Evening,Bike,27,7.0,43
279,14.19,Clear,Medium,Afternoon,Bike,9,1.0,57
388,3.96,Clear,Medium,Afternoon,Bike,23,,44
257,18.76,Clear,Medium,Evening,Car,15,2.0,80
743,15.08,Snowy,Low,Evening,Bike,29,7.0,84
528,5.83,Clear,High,Evening,Car,27,9.0,56
222,11.58,Clear,Medium,Morning,Scooter,16,2.0,61
526,9.64,Clear,Low,Morning,Bike,10,5.0,46
957,10.62,Rainy,Medium,Night,Bike,7,2.0,48
790,18.97,Rainy,High,Night,Bike,20,8.0,108
596,9.74,Rainy,Medium,Evening,Scooter,7,8.0,37
412,19.03,Clear,Low,Morning,Bike,16,5.0,68
748,11.1,Clear,Low,Afternoon,Bike,18,7.0,56
181,7.15,Windy,Low,Morning,Bike,15,3.0,42
1,7.8,Clear,Low,Evening,Scooter,23,5.0,52
127,16.45,Unknown,Medium,Evening,Scooter,25,3.0,87
931,3.22,Rainy,Medium,Night,Bike,14,8.0,34
521,12.09,Clear,Medium,Morning,Car,13,1.0,60
525,16.85,Clear,High,Morning,Car,17,4.0,71
485,11.89,Clear,Medium,Afternoon,Bike,28,0.0,79
714,8.53,Clear,Low,Evening,Scooter,8,2.0,41
